,link,category,review_content,rating,IMDB_ID,Name
0,http://www.imdb.com/title/tt0121766/usercomments,neg_train,"What a disappointment... admittedly the best of the prequels, but the story is weak, the plot is rushed and the end result is just a collection of set pieces, poorly realised and tacked together amateurishly. There are numerous continuity errors that clash glaringly with the original films, and the emergence of Darth Vader was handled so terribly that what could have been a legendary moment in modern cinema is now instead a cheesy goof that will be ridiculed for many years. I won't complain about the abysmal dialogue, as this is Star Wars... the original three films had style, cult feeling and cracking stories, and the strange dialogue added charm. The prequels were shallow attempts to make more money, and this lack of love shows in spades. Utterly disappointing.",3,tt0121766,Star Wars: Episode 3: Revenge of the Sith
1,http://www.imdb.com/title/tt0121766/usercomments,neg_train,"This kind of storytelling is unacceptable The only reason this film is anywhere above the 5 stars out of 10 line is because it's got George Lucas behind it, and it has the words ""Star"" and ""Wars"" in its title. That is an insult to aspiring filmmakers, and many others out there who have made clearly superior films with superior story, writing and acting, but did not get the credit. This is a travesty.<br /><br />First things first. The story. Anakin's evolution? There is none. Apart from a little make-up around the eyes, and a little yelling, there is none. He becomes young, stupid, cocky Anakin Skywalker to Darth Vader in a single blow. The only thing consistent about Darth Vader in the original series was his intelligence, how good he was at almost everything he did, planning, fighting, you name it. The only consistent thing about Anakin that is perceived in the prequel trilogy is his consistent stupidity. He even loses his body because of a bout of stupid cockiness.<br /><br />What part of the Emperor Palpatine telling him legends of the Sith does not point to the Emperor being a Sith? Unacceptable!<br /><br />The fight scenes used too many digital doubles. Everyone's flying all over the place like teddy bears in a make-believe doll house. Count Dooku, Emperor Palpatine, Anakin, Obi-Wan, almost every fighter had a rubbery digital double jumping around.<br /><br />In one specific fight scene, Obi-Wan and Anakin in the climactic battle, they both actually stop in the middle of parries and ripostes, to twirl their sabers a few times while inches apart. I realize the fights are choreographed, but that just got me shaking my head in disbelief and disgust.<br /><br />The writing was awful. All the dialogue was of tremendously low quality. The good actors like Ewan McGregor and Natalie Portman did the best they could with their lines, but that just wasn't enough. I can't say enough bad things about this film. Too much special effects, plot holes bigger than the centre of the universe, and absolutely no insights into any of the characters. This is the biggest mistake of this film: nothing new is offered. We know the rough picture of everything, all Lucas did was colour it in.<br /><br />We knew Anakin lost his limbs. We knew Luke and Leia are brother and sister, we knew Luke is Anakin's son, we knew Obi-Wan and Yoda go to exile, we knew everything. Nothing new is offered in this film. If that's all the fans wanted, then that's fine, Lucas couldn't have gone wrong.<br /><br />But when Anakin finally becomes Darth Vader, and he asks after Padme, and hears she is dead, he reaches out his arms awkwardly and screams ""Nooooooooooooooooooooo."" That scene screamed B-movie all the way, and I was half expecting Darth Vader to go ""DANGER WILL ROBINSON, DANGER"" at any time. That is what this is. A B-movie, disguised by a huge budget and a ultra-loyalist fan base that will settle with anything now that the first two movies have pulled their standards down to the pits of the Earth.",3,tt0121766,Star Wars: Episode 3: Revenge of the Sith
2,http://www.imdb.com/title/tt0121766/usercomments,neg_train,"Revenge of the Sith starts out with a long action sequence that is impressive without being terribly exciting, then gets really boring for the next hour and fifteen minutes, with the same horrible dialogue and dull machinations that have plagued the rest of the prequel series. The only thing that improves the proceedings is the slow--and I mean slow--build-up to what we know will be the birth of Darth Vader. And when that finally comes, it's pretty all right. Not great. Not even good. But pretty all right. This movie is being vastly over-praised because it does not suck to high heaven like the previous sequels. Instead it's just turgid, dull, and routine. But you have to say, wow, those CGI environments are really impressive at times. Bu the lightsabre fights? They're all a blurry mess. I think the dark side took hold of Lucas when he started these prequels and no one noticed. This will make a ton of money, but thank god it's over, this once-worshipped franchise has been beaten down enough. I saw the 12:01 show, and after it, I heard a group of very small kids say, wow that was awesome! But everyone older than eight all grumbled the same thing: I fell asleep in the middle. It was kind of boring. I just thought seeing the birth of Darth Vader would be better. So said we all.",4,tt0121766,Star Wars: Episode 3: Revenge of the Sith
3,http://www.imdb.com/title/tt0121766/usercomments,neg_train,"First let me preface this post by saying that I am a fan of the original Star Wars MOVIES...I don't read the books, play the games, wear the underwear or eat the cereal (if there is one). I am simply a fan of the films.<br /><br />With that being said, I struggle to see how people are giving this movie such high praise. Taking this movie by itself, and not comparing it to it's terrible predecessors (EP 1, 2), I don't understand how you can say this is an amazing movie. For all of the terrible shortcomings in the script - cheesy dialogue, contrived scenes (ie R2 suddenly being a badass, and long CGI intense chase scenes that have little human touch), HORRIBLE acting, and noted plot holes...how is this good? There was no real internal dilemma within Anakin; it just seemed like a switch was flipped and he was evil all of a sudden. I was not interested in the movie until the last 20 minutes or so (which by the way was ruined by the ""NOOOOOO!"" Frankenstein scene). When you BOMBARD the screen with intensely amazing CGI effects and fill in the gaps with absolutely atrocious one-liners when more could have and should have been said, this is NOT A GREAT MOVIE. For a film with such a ""dark"" tone, there was too much levity in the speech of ALL characters.<br /><br />I close with a question: From the beginning to the end of the film, was there really a sense of urgency and importance for what was actually about to take place?",4,tt0121766,Star Wars: Episode 3: Revenge of the Sith
4,http://www.imdb.com/title/tt0121766/usercomments,neg_train,"Ludicrous. Angelic 9-year-old Annakin turns into whiny brat 19-year-old Annakin, who somehow seems appealing to Amidala, 5 years his senior. Now 22-year-old Jedi warrior hero Annakin has a couple of bad dreams, and so takes to slaughtering children, his friends, and the entire framework of his existence because a crazy old man convinced him a) his precious wife might really die, and b) only he can prevent this. Ludicrosity squared.<br /><br />I think the people who like this movie are not paying attention. The story is ridiculous. The characters are unbelievable (literally, not the perverted sense of ""fantastic"", ""wonderful"", etc.).<br /><br />Obi-wan Kenobi was the wise and kind anchor for the entire series, but in the climax, he hacks off Annakin's legs, lets him burn in the lava, and leaves him to suffer. Doesn't anyone think that's a little out of character? Not to mention it was pretty stupid to take a chance on him living, as it turns out.<br /><br />I was expecting at least a story that showed consistent characters with plausible motivations. None of that here. The story could have been written by a 10 year old.<br /><br />Oh yeah, the CGI is pretty cool.",4,tt0121766,Star Wars: Episode 3: Revenge of the Sith
5,http://www.imdb.com/title/tt0121766/usercomments,neg_train,"I'm trying to decide if jumping into a wood chopper would be more enjoyable than this dreck. It finishes the destruction of what was once a classic couple of films. With Jedi, Menace, Clowns and Sith we have the death of Lucas' career. He wants us to swallow the Annakin is Vader nonsense? I never believed it was true. This film vindicates those feelings. The story hasn't worked since Phantom Moron, and each new film just piled the crap on until all that was left was a toy parade. I have to go. I know where some new rocks to throw are. You want spoilers? Here they come. Luke and Leia are NOT related. Vader is NOT their Father. Duke Countoo should have switched sides while he still could. Yoda has less verbal skills than Yogi Berra. His advice has never been any good to anybody. Obi Wan lied to Luke for the first two films. Annakin didn't build C3P0. He found him in the desert and lied to his Mom about putting him together from scratch. Chewbacca has fleas. This whole mess with Vader and the fall of the Republic can be blamed on that stupid b***h Amma-Lamma-Ding-Dong. If she had any brains she wouldn't have come within a light year of Annie, but she had told do what George Lucas wrote for her. What a dope!",1,tt0121766,Star Wars: Episode 3: Revenge of the Sith
6,http://www.imdb.com/title/tt0121766/usercomments,neg_train,"To make a film straddling the prequels and the ""real"" Star Wars trilogy would tax even a great film-maker....Mr Lucas is not that film-maker.<br /><br />To portray the fall of a good man into darkness needs a good actor...Mr Christensen is not that actor.<br /><br />The first 60-80 minutes are overwhelmingly boring with only a few pockets of yet more light sabre fights but there is a lack of edge because you already know which main characters survive to the original Star Wars.<br /><br />Count Dooku (Christopher Lee) has a very fleeting role here and about the best idea is to have Jar Jar Binks silent! <br /><br />No the film only picks up with the Chancellor turning on the Jedi and has one great (overlong) sequence at the lava falls",1,tt0121766,Star Wars: Episode 3: Revenge of the Sith
7,http://www.imdb.com/title/tt0121766/usercomments,neg_train,"Well, I finally saw it. I didn't go when it first came out because, well, frankly, I was afraid. Afraid of how bad it might be, or how disappointing. While not as bad as Menace, and better than Clones, it wasn't particularly memorable, or satisfying.<br /><br />I was 11 years old when I saw Star Wars. I still remember sitting in the theater. From the opening crawl to the final credits it was a movie experience I'll never forget. A timeless story of the bored farm-boy who just knows he was meant for more, saving the princess and the Galaxy from the evil menace while being mentored by the wise wizard, the rogue pirate and the various comic relief--all in a space-opera setting.<br /><br />And that's not to chastise Lucas for using an old formula. It's an old formula precisely because it works. And to his credit, he gave it new twists that made it very special.<br /><br />Then came Empire and the story became more than just a fairy tale. Darkness entered the picture and we learned one of the great movie twists of all time. The great villain, Vader was Luke's father. Wow, no one saw that coming. Of course, I'm convinced neither did Lucas till it showed up in the screenplay. Go back and watch Star Wars again. Knowing what you know now, particularly in light of the first three episodes, see if it really meshes.<br /><br />Which brings me to the problem I have. Revenge is an entertaining movie--tremendous effects, plenty of action, some good fighting scenes. But a movie still lives or dies on its plot--the story it is telling. Oh, certainly, really good acting can save a weak plot, but a weak plot coupled with bad acting--that's a burden no director can overcome, certainly not one as bad as I'm forced to realize George Lucas is (The man has managed to direct some of the worst performances in their careers from some very fine actors--Liam Neeson, Natalie Portman, Samuel Jackson).<br /><br />*****SPOILERS AHEAD******** The plot. Oh my. Understand, he's already handicapped by what's happened in the first two films so it's an incredible burden. One too much for him to overcome.<br /><br />First we have the sheer absurdities of the background. We have Anakin being found as a child on Tatooine, the product of a virginal, miracle birth--the ""chosen one"". Well, this detail never gets remotely explained. Indeed, the closest explanation is Yoda's observation that maybe they were wrong. Oh, well, okay then. Our mistake.<br /><br />Now, this same wunderkind turns out to be the creator of C3PO. Hey, what a coincidence that is. And he'll come back to Tatooine and never know he was from there? Wow! How about that. Testing the old willing suspension of disbelief there, eh George? Anyway, we have this bratty kid, moody, petulant, whining young adult, who must somehow become one of the greatest villains in Cinematic history--the great tragedy of Darth Vador--the good guy who falls from grace, only to finally achieve redemption in the end.<br /><br />How, pray tell, does this happen? Why, he has a dream that his wife will die in childbirth. Now, sure, he lives in a star-spanning civilization that treats gravity like we treat gasoline, but does it occur to the ""dark one to be"" to maybe check with a physician cause maybe, just maybe, this futuristic society might can do something about this problem? Why, no, the only thing he can think to do is go kill some children because the bad guy at the root of all the evil they've been chasing for two films tells him that he's got the secret to immortality.<br /><br />Well, of course he does.<br /><br />Sheesh.<br /><br />How can Lucas expect us to watch such foolishness and be moved by it? How can anyone expect us to care? Hell, why would anyone want this brat to be saved or redeemed in the first place. I wanted Kenobi to kill him not because he was evil, but because he was pathetically stupid.<br /><br />Oh, by the way, Amidala finally dies. In childbirth. Why? Well, they don't know. The doctor, who is a droid and himself indicative of the incredibly high technology to which this society has advanced, offers only the conclusion of ""she's lost the will to live"". Well, oh, okay, of course she has. Maybe it finally dawned on her what a dweeb she was sleeping with.<br /><br />But here we are. We have Kenobi present for all this. He knows of the birth of Luke and Leia. Knows who their father is and knows what happens to them. Knows, also, the role of both R2 and C3PO. And yet, in several years, as Luke approaches manhood and shows up with 3PO and R2 (curiously, 3PO's mind is wiped, but not R2's--why????) stating ""I think these droids belong to you"", Kenobi, who knows that the protocol droid was constructed by the one he believed to be ""the chosen one"" and apprentice to the Emperor himself, and who just happened to be built on this very planet, says ""strange, I don't recall owning any droids"".<br /><br />Oh good grief.<br /><br />Lucas simply made this up as he went along. Once he introduced VAder as Luke's father, sadly, the story began spinning out of control because HE DIDN'T KNOW WHAT THE STORY WAS. The plot of Episodes 1-3 is simply incomprehensible. Nothing Palpatine did made any rational sense at all. And none of this ties into the story he originally told in Star Wars.<br /><br />It's an afterthought, and it looks it.<br /><br />I can't give this movie a high rating. It reminds me of Triple X. A fun film to watch, but entirely forgettable. Star Wars will stand in my mind forever. Thankfully, this one, and the two preceding it, will soon fade.",4,tt0121766,Star Wars: Episode 3: Revenge of the Sith
8,http://www.imdb.com/title/tt0417741/usercomments,unsup_train,"Who's bright Idea was it to make Harry Potter 6 as awful as what I just saw in the movie theater? They basically turned a great book into a PG rated Nightmare. I understand they want to make money but after watching this movie I want 2 things back. The $10 I spent on the ticket and the 2 and a half hours I had to spend in that theater. I understand about time and not trying to make another titanic length movie, but adding stuff that has not meaning for the 6th's book, Taking out a key point: the battle at the end, that what give this movie their WTF moments. I mean who goes to a school and just blows up the hall, please! I also don't remember Hargats house being set a flame. This movie was a study in what not to do as a script writer. I mean was I the only one that wondered who the heck was the big guy that they featured when looking at the death eater yet never told you what he's purpose was. I think the script writes should get on their knees and apologies to us all for this trash. This makes me fearful of what they plan for book 7, which they are cutting into 2 movies. If either one of them is PG I'm skipping them. over 20 people died in book 7 to make it PG would mean that all the fights and all the key points in the movies would be excluded. I can tell you as a fan giving it a 4 was being nice it doesn't rate that high",0,tt0417741,Harry Potter and the Half-Blood Prince
9,http://www.imdb.com/title/tt0417741/usercomments,unsup_train,"i don't know what to comment about,there's nothing in the movie to comment about the first half was a teen-movie the second half was worse(the cave scene was okay) burrow scene was pointless(actually i found the entire movie pointless) there was no emotion in the end scene and the dumbledore's death scene(i was happy dumbledore was dead and the torcher movie was over) ginny weasley is given way too much importance(she hides the HBP's book and not harry) and i cannot imagine lavender blabbering about ron in front of the teachers let alone the headmaster dumbledore asks harry about his feelings for hermione there is plenty of these idiotic scenes,i don't understand how so many gave it 10/10 this might be the worst movie i have ever seen,shame IMDb doesn't have a 0/10 rating",0,tt0417741,Harry Potter and the Half-Blood Prince
